Slno,Area,Year,Rural population,Urban population,Urbanization Rate,"Abaca, manila hemp, raw","Agave fibres, raw, n.e.c.","Almonds, in shell","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Apples,Apricots,Areca nuts,Artichokes,Asparagus,Avocados,"Bambara beans, dry",Bananas,Barley,"Beans, dry",Beeswax,Blueberries,"Brazil nuts, in shell","Broad beans and horse beans, dry","Broad beans and horse beans, green",Buckwheat,"Buffalo fat, unrendered",Cabbages,Canary seed,Cantaloupes and other melons,Carrots and turnips,"Cashew nuts, in shell",Cashewapple,Cassava leaves,"Cassava, fresh",Castor oil seeds,"Cattle fat, unrendered",Cauliflowers and broccoli,Cereals n.e.c.,Cherries,"Chestnuts, in shell","Chick peas, dry",Chicory roots,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Cinnamon and cinnamon-tree flowers, raw","Cloves (whole stems), raw",Cocoa beans,"Coconuts, in shell","Coffee, green","Coir, raw","Cow peas, dry",Cranberries,Cucumbers and gherkins,Currants,Dates,"Edible offal of buffalo, fresh, chilled or frozen","Edible offal of cattle, fresh, chilled or frozen","Edible offal of goat, fresh, chilled or frozen","Edible offal of pigs, fresh, chilled or frozen","Edible offal of sheep, fresh, chilled or frozen","Edible offals of camels and other camelids, fresh, chilled or frozen","Edible offals of horses and other equines,  fresh, chilled or frozen","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Eggplants (aubergines),"Eggs from other birds in shell, fresh, n.e.c.",Fat of camels,Fat of pigs,Figs,"Flax, raw or retted",Fonio,"Game meat, fresh, chilled or frozen","Ginger, raw","Goat fat, unrendered",Gooseberries,Grapes,Green corn (maize),Green garlic,"Groundnuts, excluding shelled","Hazelnuts, in shell",Hempseed,"Hen eggs in shell, fresh",Hop cones,"Horse meat, fresh or chilled",Jojoba seeds,"Jute, raw or retted",Kapok fruit,Karite nuts (sheanuts),"Kenaf, and other textile bast fibres, raw or retted",Kiwi fruit,Kola nuts,Leeks and other alliaceous vegetables,Lemons and limes,"Lentils, dry",Lettuce and chicory,Linseed,Locust beans (carobs),Lupins,Maize (corn),"Mangoes, guavas and mangosteens",Maté leaves,"Meat of asses, fresh or chilled","Meat of buffalo, fresh or chilled","Meat of camels, fresh or chilled","Meat of cattle with the bone, fresh or chilled","Meat of chickens, fresh or chilled","Meat of ducks, fresh or chilled","Meat of geese, fresh or chilled","Meat of goat, fresh or chilled","Meat of mules, fresh or chilled","Meat of other domestic camelids, fresh or chilled","Meat of other domestic rodents, fresh or chilled","Meat of pig with the bone, fresh or chilled","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","Meat of rabbits and hares, fresh or chilled","Meat of sheep, fresh or chilled","Meat of turkeys, fresh or chilled",Melonseed,Millet,Mixed grain,Mushrooms and truffles,Mustard seed,Natural honey,Natural rubber in primary forms,"Nutmeg, mace, cardamoms, raw",Oats,Oil palm fruit,Okra,Olives,"Onions and shallots, dry (excluding dehydrated)","Onions and shallots, green",Oranges,"Other beans, green",Other berries and fruits of the genus vaccinium n.e.c.,"Other citrus fruit, n.e.c.","Other fibre crops, raw, n.e.c.","Other fruits, n.e.c.","Other meat of mammals, fresh or chilled","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Other oil seeds, n.e.c.",Other pome fruits,Other pulses n.e.c.,"Other stimulant, spice and aromatic crops, n.e.c.",Other stone fruits,Other sugar crops n.e.c.,"Other tropical fruits, n.e.c.","Other vegetables, fresh n.e.c.",Papayas,Peaches and nectarines,Pears,"Peas, dry","Peas, green","Pepper (Piper spp.), raw","Peppermint, spearmint",Persimmons,"Pigeon peas, dry",Pineapples,"Pistachios, in shell",Plantains and cooking bananas,Plums and sloes,Pomelos and grapefruits,Poppy seed,Potatoes,"Pumpkins, squash and gourds","Pyrethrum, dried flowers",Quinces,Quinoa,"Ramie, raw or retted",Rape or colza seed,Raspberries,Raw hides and skins of buffaloes,Raw hides and skins of cattle,Raw hides and skins of goats or kids,Raw hides and skins of sheep or lambs,Raw milk of buffalo,Raw milk of camel,Raw milk of cattle,Raw milk of goats,Raw milk of sheep,Rice,Rye,Safflower seed,"Seed cotton, unginned",Sesame seed,"Sheep fat, unrendered","Shorn wool, greasy, including fleece-washed shorn wool",Silk-worm cocoons suitable for reeling,"Sisal, raw","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",Sorghum,Sour cherries,Soya beans,Spinach,Strawberries,String beans,Sugar beet,Sugar cane,Sunflower seed,Sweet potatoes,Tallowtree seeds,"Tangerines, mandarins, clementines",Taro,Tea leaves,Tomatoes,Triticale,"True hemp, raw or retted",Tung nuts,Unmanufactured tobacco,"Vanilla, raw",Vetches,"Walnuts, in shell",Watermelons,Wheat,Yams,Yautia,Food Price Index,Average dietary energy requirement (kcal/cap/day),Percentage of children under 5 years affected by wasting (percent),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Agricultural land,Agriculture,Arable land,Cropland,Farm buildings and Farmyards,Perm. meadows & pastures - Cultivated,Perm. meadows & pastures - Nat. growing,Permanent crops,Permanent meadows and pastures,Temporary crops,Temporary fallow,Temporary meadows and pastures,Nutrient balance
139,Dominican Republic,2020,1939.482,9168.876,4.72748703,0,0,0,0,0,0,0,0,0,620086.96,0,1233461.83,0,36755.31,1123.08,0,0,12536.3,0,0,0,48117.03,0,27300.19,48035.83,656.38,0,0,167624.83,0,1799.69,0,0,0,0,3.32,0,0,46776.26,0,0,77681.23,423886.95,15380.93,0,0,0,13676.49,0,0,0,9552.22,121.94,3787.93,223.71,0,0,773,24741.43,0,0,8838.5,0,0,0,0,199.77,14.56,0,0,0,2124.01,6189.74,0,0,2953210.14,0,0,0,0,0,0,0,0,0,0,44299.5,0,6219.03,0,0,0,51130.57,53421.82,0,0,0,0,66450.22,292134.63,0,0,910.04,0,0,0,80809.17,0,0,894.85,0,0,0,0,0,0,1107.94,56.82,0,0,291901.34,0,0,68034.02,0,97177.15,0,0,0,0,24118,0,0,0,0,8517.24,688.72,0,0,172156,271500.27,1094494.77,0,0,439.62,0,0,0,0,22405.67,428599.29,0,1155151.54,0,2864.56,0,89124.83,40637.53,0,0,0,0,0,0,0,6229.71,151.07,253.54,0,0,891531.27,0,0,934754,0,0,0,0,37.29,0,0,34.12,0,356.26,0,0,0,0,0,0,5317273,0,57141.78,0,0,0,0,264656,0,0,0,13165.38,0,0,0,430549.46,0,30276.74,36257.37,119.54,2395,0,22.2,6.2,2429,2429,877,1232,0,0,0,498.077,1197,677.1126,103.9133,95.9741,-20.98936667
140,Dominican Republic,2021,1883.112,9334.544,4.956977599,0,0,0,0,0,0,0,0,0,634368.16,0,1262834.2,0,38335.39,1124.19,0,0,9433.59,0,0,0,42309,0,27922.53,49975.78,673.26,0,0,167939.27,0,1687.75,4826,0,5410,0,3.33,0,0,46482.82,0,0,70630.86,433807.33,16558.97,0,0,0,13504.34,0,0,0,8958.07,120.69,4726.38,222.86,0,0,794,24597.11,0,0,11028.23,0,0,0,0,200.51,14.41,0,0,0,1678.17,6299.46,0,0,3021445.25,0,0,0,0,0,0,0,0,0,0,46948.52,0,6126.03,0,0,0,54725.12,52575.34,0,0,0,0,62317,347491.61,0,0,900.65,0,0,0,100829.5,0,0,891.44,0,0,0,0,0,0,1124,57.43,0,0,305274.94,7424,0,71616.18,0,98301.82,0,0,0,0,23612,0,0,0,0,5954.37,686.65,0,0,173144,246381,1156667.01,0,0,440.66,0,0,0,0,22248.76,443226.26,0,1075526.63,0,2492.7,0,90801.77,42533.43,0,0,0,0,0,0,0,5842.22,149.51,252.57,0,0,861564.88,0,0,1006394,0,0,0,0,37.14,0,0,34.14,0,321.87,0,0,0,0,0,9571,5505530,0,58206.7,0,12263,0,0,258168,0,0,0,9836.39,0,0,0,441671.96,0,31539.08,36168.49,131.35,2397,0,22,5.8,2429,2429,877,1232,0,0,0,322.432,1197,682.9303,98.0976,95.9721,-26.0719
141,Dominican Republic,2022,1829.181,9495.433,5.191084425,0,0,0,0,0,0,0,0,0,737200.99,0,1397441.99,0,39432.79,1113.01,0,0,7728.15,0,0,0,42190,0,32246.02,59156.48,669.49,0,0,176405.89,0,1658.92,5139,0,7533,0,3.33,0,0,53961.93,0,0,88655.67,471803.51,19814.39,0,0,0,13071.1,0,0,0,8805.05,119.52,4540.4,224.66,0,0,1748,25388.65,0,0,10594.27,0,0,0,0,198.79,14.27,0,0,0,3023.08,6703.78,0,0,3534258.64,0,0,0,0,0,0,0,0,0,0,62456.67,0,6638.59,0,0,0,62824.95,74459.54,0,0,0,0,61252.53,365454.05,0,0,891.95,0,0,0,96861.9,0,0,898.62,0,0,0,0,0,0,804.33,57.29,0,0,318605.68,8934,0,74294.67,0,100009.03,0,0,0,0,18717.7,0,0,0,0,5743.77,684.7,0,0,223311,593460,1281726.35,0,0,442.97,0,0,0,0,23310.25,496872.87,0,1151333,0,1561.19,0,92425.03,53502.7,0,0,0,0,0,0,0,5742.42,148.06,254.61,0,0,860770.65,0,0,1029316,0,0,0,0,37.44,0,0,34.1,0,224.21,0,0,0,0,0,10555,5618097,0,62243.33,0,13432,0,0,244586,0,0,0,10929.47,0,0,0,641629.15,0,37078.85,50256.08,145.94,2399,0,19,4.6,2429,2429,877,1232,0,0,0,364.289,1197,682.9303,98.0976,95.9721,-36.68543333
142,Ecuador,2020,6212.001,11123.641,1.790669544,37763.09,4493.06,0,10.79,7163.86,349.05,0,0,1714.17,20352.48,0,6023390.25,14107.49,11873.49,95.37,0,0,1059.34,27872.26,0,0,12436.25,0,17112.48,42768.73,0,0,0,64273,3000,14234.65,183174.62,0,0,0,0,0,0,8530.05,0,0,327902.56,14666.67,5280.29,0,0,0,4777.42,0,0,0,47448.82,16.85,14707.84,837.8,0,0,26414.93,0,0,0,16546.32,36.3,0,0,0,0,4.77,0,544.28,0,1309.84,7190,0,0,2968000,0,0,0,0,0,0,0,0,0,0,27913.52,2795.81,16895.01,57.39,0,1379.9,1304884,80421.99,0,0,0,0,237244.09,452047,464.92,71.57,168.47,0,0,0,137886,0,1090.84,6283.48,1377.78,0,0,0,0,0,880.65,19531.33,0,879.67,2446312.17,0,0,22184.12,98334.63,146159.38,12151.94,6338.04,18480.15,0,232872.82,9177.41,0,0,0,0,833.59,0,0,48379.03,24105.63,48022.86,4562.53,7205.89,880.97,20141.94,4152.04,0,0,0,104058.66,0,722298.01,8815.78,4827.1,0,408313.3,4316.28,145.45,0,4902.91,0,0,0,0,41280.47,14.04,628.35,0,0,2315400,561.14,3915.53,1072400,80.93,0,3951.85,17.82,188.5,1149.16,0,0,0,13852.14,0,27238.07,0,1443.57,0,4646.59,11016167.04,229.8,4174.41,0,27097.46,0,1579.1,38438.38,0,0,0,4772,0,0,0,76974.93,14647,0,0,102.19,2318,0,12.8,13.6,5420,5420,1038,2481,0,2068,871,1443,2939,823,215,0,42.58126667
143,Ecuador,2021,6261.381,11307.417,1.805898252,37821.3,4580.65,0,10.7,7191.7,345.23,0,0,1805.13,42492.34,0,6717424,14680.86,17717.21,95.12,0,0,3310.15,24645.39,0,0,12356.05,0,17084.5,43033.25,0,0,0,96210,3000,13394.92,129763.9,0,0,0,0,0,0,8473.39,0,0,302093.9,14555.56,4916.87,0,0,0,4789.31,0,0,0,44649.72,69.16,14841.17,870.85,0,0,26523.57,0,0,0,16696.32,36.3,0,0,0,0,19.59,0,543.35,0,1290.13,6891.53,0,0,2967763.6,0,0,0,0,0,0,0,0,0,0,22402.88,2788.73,16820.51,57.42,0,1364.44,1699369.61,124167.03,0,0,0,0,223248.59,489786,562.37,72.27,691.57,0,0,0,139136,0,1091.66,6531.34,2471.28,0,0,0,0,0,878.67,19582.22,0,879.62,2418855.36,0,0,12191.47,97082.78,117382.1,17677.33,6514.18,18605.41,0,238936.7,9203.44,0,0,0,0,840.05,0,0,65195.24,25000,47873.23,4552.89,7207.95,423.57,17256.69,3581.19,0,0,0,206660.42,0,763455,8711.45,4746.74,0,244749,4310.59,146.06,0,1481.54,0,0,0,0,38845.25,57.63,653.13,0,0,2145000,1196.46,4052.29,1207000,81.19,0,3926.66,17.83,195.94,1089.64,0,0,0,13982.03,0,20076.95,0,1438.45,0,4655.14,11372505.11,230.65,4242.98,0,26924.8,0,1570.27,55277.2,0,0,0,10883.13,0,0,0,77605.5,10898.38,0,0,101.32,2322,0,13,14,5470,5470,1024,2448,0,2377,646,1423,3023,842,182,0,39.86843333
144,Ecuador,2022,6306.539,11493.241,1.822432399,38069.23,4551.46,0,10.78,7209.93,345.96,0,0,2000,26439.99,0,6122744,11155.09,14672.43,95.41,0,0,2142.5,19536.21,0,0,12347.83,0,16981.56,43125.06,0,0,0,146299.78,3000,12874.13,135086,0,0,0,0,0,0,8408.97,0,0,337149.41,14740.74,7965.97,0,0,0,4820.63,0,0,0,42913.76,28.44,21996.16,922.83,0,0,26559.36,0,0,0,24745.68,36.25,0,0,0,0,8.06,0,549.28,0,1294.88,3357.67,0,0,3025538.9,0,0,0,0,0,0,0,0,0,0,40342.05,2788.2,16821.18,57.35,0,1363.63,1641131.23,135090.66,0,0,0,0,214568.81,513694,382.7,72.91,284.4,0,0,0,206214,0,1096.41,6921.23,3705.71,0,0,0,0,0,881.39,19496.35,0,874.81,2296402.23,0,0,17542,97583.18,205539,24273.35,6539.11,18591.14,0,241022.36,9245.1,0,0,0,0,842.19,0,0,56103.7,26000,47782.78,4556.95,7215.34,787.42,6946.46,3515.28,0,0,0,295310.8,0,857562,8727.81,4769.6,0,251433.39,4304.79,147.14,0,883.53,0,0,0,0,37334.97,23.7,692.12,0,0,2071000,743.74,4148.76,1252800,81.24,0,3917.82,17.84,207.64,1023.29,0,0,0,14024.51,0,29453.73,0,1448.07,0,4627.86,7740492.1,231.38,4230.28,0,27031.48,0,1567.9,52228.95,0,0,0,10232.31,0,0,0,76527.13,7431,0,0,106.64,2326,0,12.7,13.9,5348,5348,974,2340,0,2321,686,1366,3007,794,180,0,31.05676667
145,Egypt,2020,58900.432,44041.052,0.747720356,0,0,0,30389.05,751200,66280,0,311000,0,0,0,1347000,109041,125200,129,0,0,125123,174496,0,5061.7,473250,0,135200,195600,0,0,0,0,0,10720,115000,0,0,0,5932,0,62397.04,867000,0,0,0,0,0,0,7261.7,0,443500,0,1711200,29202.13,54270,2633.33,78.8,6720,901.7,0,5232.45,1278350,0,377.46,98.23,299450,7717.53,0,0,0,433.33,0,1184000,0,377100,219480,0,0,15658240,0,0,0,2282.35,0,0,0,0,0,0,376150,1469,78000,18000,0,203,7593175,1544350,0,0,183000,9855.84,402000,2034000,49000,13000,16000,0,0,0,842,11939.38,73075.29,54000,25000,0,0,0,0,0,4566.83,0,0,0,0,87400,968400,3199250,0,3966200,269463.31,0,5569.35,0,498690.51,13690.76,3950,0,0,7494.19,0,1147.8,0,27322.16,699236.14,0,273500,79350,420,152000,0,0,0,0,0,0,0,17280,1750,0,6786340,415200,0,43.73,0,0,0,0,20636.17,42210,2200,6720,1265000,0,4281000,8500,23500,4804000,91138.3,0,160000,61400,1800,11854.57,10.71,0,0,758200,0,36420,30000,438730,310.39,10284000,15860450,21400,531285,0,1084667.43,133450,0,6493950,0,0,0,0,0,2299.17,23825.13,1129000,9101785,0,0,196.05,2340,0,7.1,6.9,3971,3971,3365,3971,0,0,0,606,0,2598.0434,201.4019,565.5547,57.41913333
146,Egypt,2021,59819.36,44872.827,0.750138868,0,0,0,30500.28,863370,66207,0,502189,0,1050,0,1185148,87644,170236.92,109,0,0,132210,134591,0,5614.89,483049,0,538967,195210,0,0,0,0,0,11173.33,110425,0,0,0,951,0,62997.76,722997,0,0,0,0,0,0,7238.98,0,491650,0,1713610,32393.62,56565,3291.67,70.75,6720,2048.32,0,5253.49,1414860,0,857.44,88.2,211438,7751.07,0,0,0,541.67,0,1472418,0,445712,251548,0,0,17014400,0,0,0,2280.22,0,0,0,0,0,0,368595,527,72500,5018,0,212,8035715,1123915,0,0,203000,22388.65,419000,2403000,59000,11000,20000,0,0,0,756,11967.6,72000,54000,30000,0,0,0,0,0,4165,0,0,0,0,82722,1056548,3575245,0,3173430,271425.2,0,5537.62,0,502456.38,13877.08,4019,0,0,7469.61,0,1151.24,0,28013.02,701221.18,0,276608,82746,430,171375,0,0,0,0,0,0,0,46653,9781,0,6273931,152900,0,43.08,0,0,0,0,22891.49,43995,2750,6720,1337000,0,4794000,9000,25000,4241894,89874.65,0,305000,53206,1800,11789.91,14.29,0,0,793926,0,62586,28692,663659,310.72,14195489,15959305,21539,491182,0,1103750,156734,0,6389295,0,0,0,0,0,2263.84,23998.37,931914,9842410.95,0,0,205.01,2345,0,8.8,7.6,4031,4031,3077,4031,0,0,0,954,0,2396.0963,177.7374,503.1663,51.2011
147,Egypt,2022,60691.93,45724.131,0.753380738,0,0,0,30372.83,887600,69076,0,465579,0,894,0,1212568,91877,176502,112.69,0,0,125110,147231,0,6205.43,497045,0,1019085,258128,0,0,0,0,0,12483.6,111944,0,0,0,2315,0,63486.3,1142696,0,0,0,0,0,0,7256.6,0,593901,0,1847629,35800.53,63198.23,3417.17,68.13,7108.22,2248.3,0,5212.3,1972593,0,941.15,84.93,206626,7737.11,0,0,0,562.32,0,1790734,0,522128,233719,0,0,15927600,0,0,0,2283.7,0,0,0,0,0,0,364559,235,75200,13060,0,158,6857490,1645866,0,0,224349.99,24574.42,468135.05,1940000,33000,7000,20762.55,0,0,0,728,11873.12,72000,57119.61,19000,0,0,0,0,0,3981.93,0,0,0,0,118055,1011444,3716485,0,3159793,269499.54,0,5561.96,0,506293.57,14094.97,4210,0,0,7486.45,0,1142.08,0,28208.54,697396.31,0,259522,84885,435,98452,0,0,0,0,0,0,0,44424,9180,0,7210464,567491,0,46.31,0,0,0,0,25299.04,49154.18,2854.85,7108.22,1471000,0,5207000,7800,21200,4300578,92017,0,350000,50821,1903.99,11851.11,7.14,0,0,1037342,0,116681,22475,689013,311.17,12534816,15564534,59480,318624,0,1174895,177731,0,6367592,0,0,0,0,0,2275.89,24012.64,1000423,9622993,0,0,253.38,2349,0,10.4,8.5,4058,4058,3103,4058,0,0,0,955,0,2416.3428,179.2393,507.4179,49.7886
148,El Salvador,2020,1720.558,4758.508,2.765677181,0,1572.07,0,0,44696.42,0,0,0,0,28558.75,0,9847.62,0,85559.95,217.16,0,0,0,0,0,0,682.24,0,1285.38,0,1055.94,0,0,21895.81,0,719.89,0,0,0,0,0,0,0,7832.18,0,0,360.39,57682.72,35000,0,0,0,5467.15,0,0,0,3383.5,13.03,497.73,6.16,0,0,0,0,0,0,497.73,0,0,0,0,0,2.67,0,0,47117.91,0,0,0,0,1286250,0,0,0,163.6,0,0,1002.59,0,0,0,20577.09,0,0,0,0,0,780729.73,25366.09,0,0,0,0,18717.21,131541.79,0,0,78.52,0,0,0,6891.64,0,0,37.09,0,0,0,0,0,0,2048.51,0,0,0,0,0,11426.16,2503.18,0,57489.39,0,0,0,0,13586.08,0,0,0,0,0,0,0,0,0,31824.97,6286.67,0,0,0,0,0,0,0,0,4526.34,0,36879,0,0,0,10339.64,8511.74,0,0,0,0,0,0,0,3527.47,13.03,6.16,0,0,410391.4,0,0,23497.42,0,0,18.55,1250.09,1.26,0,0,0,0,107756.6,0,5287.46,0,0,0,0,7508772.96,0,760.21,0,17121.69,0,677.9,23359.2,0,0,0,1813.13,0,0,0,51609.96,0,0,48258.67,102.88,2308,0,14.7,6.6,1195.7,1195.7,721,881,0,47.1,267.6,160,314.7,423.7,29.7,267.6,24.05553333
149,El Salvador,2021,1685.522,4826.802,2.863683773,0,1584.97,0,0,44726.75,0,0,0,0,38568.15,0,15396.16,0,104673.84,217.13,0,0,0,0,0,0,698.35,0,4474.55,0,1055.94,0,0,41091.86,0,755.03,0,0,0,0,0,0,0,15116.47,0,0,363.86,62670.93,41910.91,0,0,0,12979,0,0,0,3548.64,12.77,543.24,6.2,0,0,0,0,0,0,543.24,0,0,0,0,0,2.62,0,0,50637.89,0,0,0,0,1258017.6,0,0,0,178.6,0,0,1005.36,0,0,0,13822.36,0,0,0,0,0,836714.56,14123.39,0,0,0,0,19630.76,155405.52,0,0,76.94,0,0,0,7521.77,0,0,37.37,0,0,0,0,0,0,2045.24,0,0,0,0,0,11431.84,1119.89,0,62132.35,0,0,0,0,13372.19,0,0,0,0,0,0,0,0,0,31996.79,3174.43,0,0,0,0,0,0,0,0,987.82,0,44429,0,0,0,9169.02,8528.14,0,0,0,0,0,0,0,3699.64,12.77,6.2,0,0,419550,0,0,19145.98,0,0,0,1136.46,1.27,0,0,0,0,94023.27,0,5278.72,0,0,0,0,7681285.83,0,764.57,0,23538.73,0,672.79,23016.73,0,0,0,1814.16,0,0,0,22751.33,0,0,48160.64,105.22,2312,0,16.2,7.1,1195.7,1195.7,721,881,0,47.1,267.6,160,314.7,423.7,29.7,267.6,19.5509
150,El Salvador,2022,1651.512,4893.661,2.963139838,0,1585.19,0,0,44407.05,0,0,0,0,21377,0,13673,0,91069,217.19,0,0,0,0,0,0,699.05,0,6106.84,0,1311,0,0,32232,0,723.08,0,0,0,0,0,0,0,12823,0,0,364.14,72056,41866,0,0,0,13652.95,0,0,0,3398.46,12.69,546.9,6.24,0,0,0,0,0,0,546.9,0,0,0,0,0,2.6,0,0,35153,0,0,0,0,1290227.4,0,0,0,181.04,0,0,1005.74,0,0,0,16451.14,0,0,0,0,0,779043,39479,0,0,0,0,18800,159500,0,0,76.45,0,0,0,7572.46,0,0,37.59,0,0,0,0,0,0,2034.32,0,0,0,0,0,11495.71,1511.49,0,71678,0,0,0,0,13434.69,0,0,0,0,0,0,0,0,0,32062.82,1188,0,0,0,0,0,0,0,0,1033.33,0,28960,0,0,0,7727,8595.05,0,0,0,0,0,0,0,3543.08,12.69,6.24,0,0,421000,0,0,14504,0,0,0,925,1.28,0,0,0,0,106533,0,5308.59,0,0,0,0,7350297,0,766.07,0,24035,0,671.39,23659,0,0,0,1826.16,0,0,0,42494,0,0,48260.67,118.04,2316,0,15.8,6.8,1195.7,1195.7,721,881,0,47.1,267.6,160,314.7,423.7,29.7,267.6,9.510733333
151,Equatorial Guinea,2020,378.29,1027.99,2.717465437,232.12,0,0,0,0,0,0,0,0,0,0,31253.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74939.99,0,1.74,0,0,0,0,0,0,0,0,0,0,1000,9603,4111.39,0,0,0,0,0,0,0,8.79,8.85,19.49,19.18,0,0,39122.26,0,0,0,15.73,0,0,0,0,0,1.75,0,0,0,0,0,0,0,7079.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.32,256.81,0,0,48.6,0,0,0,176.09,0,0,105.4,0,0,0,0,0,0,0,0,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41920.03,0,0,0,0,0,0,0,0,0,0,0,0,8.79,10.69,27.4,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,101192.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.46,2289,0,0,0,104.92,104.92,53,100,0,0,0,47,4.92,40.9201,6.2798,5.8,-7.614366667
152,Equatorial Guinea,2021,383.99,1068.36,2.782259955,231.25,0,0,0,0,0,0,0,0,0,0,31426.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75178.53,0,1.74,0,0,0,0,0,0,0,0,0,0,600,9603,4129.69,0,0,0,0,0,0,0,8.82,8.92,19.78,19.32,0,0,39308.06,0,0,0,15.97,0,0,0,0,0,1.76,0,0,0,0,0,0,0,6525.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.45,258.55,0,0,49.02,0,0,0,178.76,0,0,106.17,0,0,0,0,0,0,0,0,0,0,41792.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41241.99,0,0,0,0,0,0,0,0,0,0,0,0,8.82,10.79,27.61,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,101515.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.19,2290,0,0,0,104.92,104.92,53,100,0,0,0,47,4.92,41.2717,5.9284,5.7999,-7.6555
153,Equatorial Guinea,2022,389.404,1108.883,2.847641524,232.45,0,0,0,0,0,0,0,0,0,0,31485.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75258.54,0,1.75,0,0,0,0,0,0,0,0,0,0,1000,9603,4110.75,0,0,0,0,0,0,0,8.85,9,20.08,19.45,0,0,39375.14,0,0,0,16.21,0,0,0,0,0,1.78,0,0,0,0,0,0,0,6781.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,260.39,0,0,49.46,0,0,0,181.42,0,0,106.86,0,0,0,0,0,0,0,0,0,0,40971.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41453.01,0,0,0,0,0,0,0,0,0,0,0,0,8.85,10.88,27.78,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,101638.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.89,2295,0,0,0,104.92,104.92,53,100,0,0,0,47,4.92,41.2717,5.9284,5.7999,-7.719766667
154,Estonia,2020,400.194,900.365,2.249821337,0,0,0,0,1260,0,0,0,0,0,0,0,561120,0,0,0,0,39170,0,0,0,0,0,0,20010,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,154200,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,9580,22300,0,0,10,0,0,0,45040,0,0,370,0,0,0,810,0,0,1117,0,0,117950,0,0,0,130,0,0,0,920,0,0,0,0,0,3480,0,60,0,0,0,0,0,0,0,0,81240,660,0,0,0,0,0,0,0,20,0,0,88390,0,0,0,0,0,202950,120,0,0,0,0,0,0,848300,700,0,0,78740,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,0,0,0,0,0,510,30760,0,0,0,0,0,0,0,840520,0,0,114.66,2538,0,0.8,2.5,985,985,694,699,0,0,0,5,286,509,10,175,25.99796667
155,Estonia,2021,396.696,900.342,2.269601912,0,0,0,0,1970,0,0,0,0,0,0,0,396370,0,0,0,0,19970,0,0,0,0,0,0,14060,0,0,0,0,0,0,0,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7930,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,178580,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,9950,23300,0,0,10,0,0,0,44150,0,0,340,0,0,0,950,0,0,1343,0,0,77500,0,0,0,250,0,0,0,570,0,0,0,0,0,1990,0,60,0,0,0,0,0,0,0,0,59160,320,0,0,0,0,0,0,0,30,0,0,66270,0,0,0,0,0,216070,170,0,0,0,0,0,0,838700,700,0,0,42960,0,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,830,27690,0,0,0,0,0,0,0,736270,0,0,116.76,2539,0,0.7,2.5,987,987,700,705,0,0,0,5,282,512,10,178,27.05883333
