Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
Indonesia,2024,Meat & Seafood,41624.99,42883.64,88.01,674.31,45.05,Keep
Italy,2023,Beverages,11714.16,10116,103.42,918.9,31.39,Keep
Australia,2023,Beverages,3628.5,4199.04,100.92,654.55,59.03,Keep
Brazil,2023,Bakery Items,30854.25,28373.57,115.04,747.57,51.99,Keep
Italy,2024,Meat & Seafood,46852.8,55386.73,139.02,24.51,62.87,Keep
Japan,2023,Fruits & Vegetables,2192.54,2459.51,181.4,705.89,58.22,Keep
Argentina,2023,Frozen Food,27521.46,25452.38,176.44,1116.1,50.88,Keep
USA,2024,Prepared Food,35924.32,30004.9,192.56,1109.32,42.27,Keep
Spain,2024,Meat & Seafood,33791.28,31479.67,65.9,219.46,30.43,Keep
Indonesia,2023,Meat & Seafood,48216.19,51593.84,151.14,353.04,56.75,Keep
France,2024,Frozen Food,1314.06,1332.64,128.69,1082.83,40.81,Keep
Saudi Arabia,2024,Prepared Food,37050.71,38365.47,196.14,116.66,67.64,Keep
Brazil,2023,Prepared Food,16972.96,14320.65,99.26,165.4,34.47,Keep
Spain,2023,Dairy Products,13937.28,15512.11,108.3,27.87,40.63,Keep
Japan,2024,Dairy Products,47567.09,46165.99,94.32,32.61,65.82,Keep
South Africa,2024,Fruits & Vegetables,16963.98,19065.76,193.04,1268.4,35.61,Keep
Indonesia,2024,Frozen Food,3567.42,3713.77,51.71,255.85,57.8,Keep
India,2023,Meat & Seafood,43446.92,47096.44,35.45,16.15,54.82,Keep
Australia,2023,Bakery Items,35899.52,36123.81,127.57,503.69,64.55,Keep
China,2024,Dairy Products,41094.36,42324.94,81.2,760.09,61.26,Keep
Saudi Arabia,2023,Prepared Food,31798.5,27380.38,45.11,462.38,31.35,Keep
Turkey,2023,Frozen Food,6743.26,6479.62,55.33,1118.23,44.54,Keep
Spain,2023,Beverages,46787.67,50857,53.42,663.44,69.02,Keep
Argentina,2024,Fruits & Vegetables,34377.5,29795.03,119.44,790.96,30.6,Keep
Turkey,2023,Bakery Items,23215.07,23317.07,195.51,669.66,35.83,Keep
UK,2023,Bakery Items,8030.17,7356.13,76.42,454.39,50.03,Keep
France,2024,Bakery Items,3959.24,4269.63,107.29,987.09,33.89,Keep
Saudi Arabia,2024,Meat & Seafood,7049.17,7695.97,136.52,643.09,41.24,Keep
South Korea,2024,Dairy Products,5058.24,4824.18,144.75,1382.05,63.4,Keep
Japan,2024,Beverages,40854.18,40444.58,68.81,47.02,49.97,Keep
Indonesia,2023,Beverages,32931.8,37000.2,24.98,358.18,44.08,Keep
South Africa,2024,Grains & Cereals,23137.63,27294.6,173.68,808.33,34.76,Keep
Italy,2023,Fruits & Vegetables,31130.27,36622.71,139.05,415.19,60.61,Keep
Canada,2024,Meat & Seafood,6167.66,6479.29,165.44,1190.31,62.48,Keep
France,2023,Grains & Cereals,42544.59,39659.69,97.09,58.21,65.41,Keep
France,2023,Bakery Items,15275.97,13016.74,39.68,640.22,60.68,Keep
France,2023,Dairy Products,16869.71,14181.75,157.22,874.04,37.1,Keep
Brazil,2023,Meat & Seafood,21397.48,18490.31,177.98,956.45,45.71,Keep
Spain,2023,Frozen Food,9716.22,10604.28,149.42,963.75,41.6,Keep
China,2024,Frozen Food,30243.94,26197.12,171.54,863.36,45.77,Keep
Germany,2023,Beverages,35643.89,41185.44,65.93,1062.33,32.18,Keep
South Korea,2023,Fruits & Vegetables,41482.57,46333.09,121.92,244.71,61.46,Keep
China,2024,Fruits & Vegetables,31630.65,36217.51,181.08,270.32,56.04,Keep
South Korea,2024,Dairy Products,7654.24,8374.5,40.54,850.74,60.9,Keep
South Korea,2023,Frozen Food,38328.79,41982.15,32.63,785.91,57.74,Keep
Indonesia,2024,Dairy Products,42665.84,50088.64,158.69,661.13,47.57,Keep
India,2023,Beverages,41053.02,45487.65,157.25,886.32,57.9,Keep
Spain,2024,Fruits & Vegetables,47975.09,57145.29,197.07,1192.25,37.85,Keep
Italy,2023,Grains & Cereals,49823.95,57142.48,59.49,1028.07,64.88,Keep
China,2023,Frozen Food,47358.87,41016.65,172.4,829.62,34.05,Keep
UK,2024,Dairy Products,47696.15,42730.6,29.76,1149.91,35.22,Keep
Argentina,2024,Fruits & Vegetables,27091.6,29279.15,138.61,1150.97,46.48,Keep
Saudi Arabia,2023,Frozen Food,16959.33,16228.69,62.9,515.74,58.05,Keep
Brazil,2024,Frozen Food,31823.4,32839.68,82.47,1080.81,57.03,Keep
South Korea,2024,Prepared Food,12463.29,14521.65,110.45,1200.44,64.35,Keep
France,2023,Grains & Cereals,13851.18,11430.7,119.26,1157.56,52.12,Keep
USA,2024,Meat & Seafood,13285.19,14486.71,82.34,310.96,40.72,Keep
Canada,2024,Fruits & Vegetables,28461.83,24132.13,86.06,1246.6,56.4,Keep
Mexico,2024,Prepared Food,32998.71,31325.02,49.89,868.78,59.66,Keep
France,2024,Fruits & Vegetables,39609.6,33231.19,64.46,855.57,46.09,Keep
Saudi Arabia,2023,Meat & Seafood,27318.34,25841.38,35.52,339.53,57.15,Keep
Russia,2023,Meat & Seafood,37886.84,41860.68,129.59,657.36,31.69,Keep
Indonesia,2024,Bakery Items,2225.09,1836.76,104.14,1157.3,62.86,Keep
France,2024,Dairy Products,10300.52,11104.21,62.1,1315.28,49.86,Keep
USA,2024,Prepared Food,9272.98,10324.97,182.31,675.39,46.24,Keep
Turkey,2024,Grains & Cereals,10668.1,9622.69,102.58,737.64,58.15,Keep
Argentina,2023,Grains & Cereals,8416.1,6929.97,126.12,830.43,66.51,Keep
Italy,2023,Bakery Items,5158.83,5533.23,187.33,954.11,51.57,Keep
USA,2024,Dairy Products,2512.68,2273.25,183.28,820.54,67.48,Keep
Spain,2023,Bakery Items,26866.42,29648.63,171.62,1242.59,65.29,Keep
Canada,2023,Frozen Food,10961.77,12576.03,176.8,977.68,32.32,Keep
Russia,2024,Meat & Seafood,7620.64,8232.41,175.09,1322.56,61.92,Keep
Japan,2023,Beverages,36013.66,34055.43,28.84,1218.87,45.61,Keep
Canada,2023,Grains & Cereals,42828.76,44223.92,108.41,1372.05,39.46,Keep
Canada,2024,Dairy Products,47299.18,47088.76,69.3,1087.99,50.75,Keep
Italy,2024,Bakery Items,13588.97,12125.32,192.19,430.73,38.93,Keep
India,2024,Bakery Items,42905.2,43781.19,147.07,866.71,33.3,Keep
France,2023,Bakery Items,24942.52,22397.14,156.77,791.47,31.11,Keep
UK,2024,Grains & Cereals,38667.49,32165.91,104.41,759.94,41.99,Keep
UK,2023,Meat & Seafood,20556.93,17089.99,48.42,1128.96,35.93,Keep
Canada,2023,Prepared Food,32521.12,32543.38,136.11,754.46,58.45,Keep
Mexico,2023,Bakery Items,41431.57,41218.18,87.76,644.84,46.69,Keep
Russia,2023,Fruits & Vegetables,33865.11,38931.11,113.98,353.68,49.73,Keep
Indonesia,2023,Dairy Products,3191.57,3288.83,59.33,841.8,34.68,Keep
Japan,2023,Meat & Seafood,7153.42,7576.53,161.84,773.92,68.05,Keep
Spain,2023,Dairy Products,19324.44,22476.63,132.93,131.5,32.01,Keep
Mexico,2023,Meat & Seafood,515.3,467.63,78.96,70.77,56.56,Keep
South Africa,2024,Dairy Products,42244.94,47489.87,110.12,909.79,47.89,Keep
USA,2023,Bakery Items,37466.65,37017.5,42.3,575.13,53.65,Keep
Turkey,2024,Fruits & Vegetables,25477.84,26272.99,143.08,432.71,55.54,Keep
USA,2024,Beverages,38466.65,45817.07,134.68,901.1,40.37,Keep
Spain,2023,Meat & Seafood,11862.67,10071.38,136.18,1384.63,40.99,Keep
Indonesia,2023,Fruits & Vegetables,11877.33,9911.33,164.78,269.03,61.79,Keep
Indonesia,2023,Bakery Items,22177.05,19044.94,106.83,1124.13,62.86,Keep
France,2023,Grains & Cereals,17060.48,15970.34,182.68,97.29,69.69,Keep
France,2024,Grains & Cereals,4646.46,5532.06,31.12,350.61,54.91,Keep
South Korea,2024,Bakery Items,7710.62,8555.34,82.11,38.08,31.74,Keep
Russia,2024,Fruits & Vegetables,43629.68,40012.99,20.87,787.2,43.97,Keep
Indonesia,2023,Frozen Food,37589.73,35781.77,79.67,1203.93,34.59,Keep
USA,2023,Meat & Seafood,4220.33,4951.63,37.86,290.17,54.36,Keep
UK,2024,Beverages,28113.02,22698.02,108.53,191.39,32.73,Keep
Russia,2024,Fruits & Vegetables,32749.78,35677.31,130.84,574.11,57.17,Keep
Russia,2024,Grains & Cereals,46372.26,48183.74,181.94,453.34,45.24,Keep
South Africa,2023,Beverages,8389.64,7379.73,155.47,1172.12,56.23,Keep
Argentina,2023,Fruits & Vegetables,40294.06,35993.26,157.24,620.35,67.19,Keep
Italy,2023,Frozen Food,40851.8,40926.25,47.25,1080.35,33.56,Keep
Brazil,2023,Grains & Cereals,14249.66,14160.14,77.06,639.32,47.96,Keep
Brazil,2023,Dairy Products,32010.17,35709.12,64.25,1231.62,53.26,Keep
South Korea,2023,Frozen Food,4159.18,4790.84,46.69,1251.98,31.27,Keep
UK,2023,Prepared Food,13538.84,13488.94,118.35,1357.24,59.54,Keep
Australia,2024,Dairy Products,7143.71,7952.53,27.61,88.75,54.41,Keep
South Africa,2023,Frozen Food,24038.76,22319.98,63.27,1189.87,49.05,Keep
UK,2024,Frozen Food,3044.54,3598.9,177.55,1285.61,40.26,Keep
South Africa,2023,Bakery Items,4162.13,3946.3,97.69,739.64,50.14,Keep
South Korea,2023,Dairy Products,41189.15,40978.8,104.1,323.72,46.78,Keep
India,2023,Frozen Food,11292.96,12418.68,191.13,690.74,61.75,Keep
Saudi Arabia,2024,Meat & Seafood,6791.87,5504.78,191.39,72.75,62.61,Keep
Argentina,2023,Beverages,7329.99,7119.51,27.24,774.64,49.72,Keep
Spain,2023,Beverages,43508.87,38666.55,70.84,1354.06,60.11,Keep
Spain,2024,Frozen Food,14042.05,13913.87,159.81,671.9,58.43,Keep
Australia,2023,Frozen Food,45075.81,49946.6,98.29,918.86,50.72,Keep
Australia,2023,Dairy Products,37062.88,34362.98,36.36,1205.59,37.88,Keep
Japan,2023,Fruits & Vegetables,23699.63,24189.61,70.28,1303.1,49.77,Keep
Canada,2024,Beverages,13936.71,13293.1,31.23,548.69,57.03,Keep
Germany,2024,Fruits & Vegetables,9448.44,9574.78,136.95,395.09,36.7,Keep
Turkey,2023,Beverages,27838.3,22942.91,107.53,768.74,49.26,Keep
Spain,2024,Meat & Seafood,32261.02,30056.23,37.22,1061.95,42.26,Keep
Turkey,2023,Prepared Food,29270.96,28088.74,53.89,194.08,44.06,Keep
Brazil,2023,Meat & Seafood,30627.2,32844.64,191.73,453.18,50.42,Keep
Argentina,2024,Dairy Products,24562.19,22556.23,163.15,799.37,33.17,Keep
UK,2024,Fruits & Vegetables,13311.78,15226.26,49.49,93.63,39.37,Keep
South Korea,2024,Prepared Food,11274.34,9453.84,162.85,898.82,49.86,Keep
Brazil,2023,Grains & Cereals,31856.68,28869.02,185.37,820.56,38.64,Keep
India,2023,Beverages,35046.88,28836.4,61.06,877.75,32.48,Keep
Japan,2023,Dairy Products,34738.28,27945.72,133.57,126.33,57.38,Keep
Germany,2024,Beverages,32804.56,27648.66,199.49,832.19,44.46,Keep
India,2023,Beverages,29511.37,26246.42,29.4,55.16,44.16,Keep
Germany,2024,Dairy Products,7521.02,6162.1,125.48,811.53,47.85,Keep
Turkey,2024,Frozen Food,1034.78,918.78,144.59,1097.06,40.69,Keep
Italy,2023,Grains & Cereals,22878.01,18853.74,96.88,731.86,60.9,Keep
UK,2024,Frozen Food,39984.13,38330.43,165.75,849.12,45.39,Keep
India,2024,Beverages,14354.36,15921.53,83.92,777.68,34.24,Keep
South Africa,2023,Dairy Products,8999.88,8655.15,196.23,1269.93,46.42,Keep
South Africa,2024,Prepared Food,44823.94,52763.9,103.61,227.69,54.66,Keep
India,2024,Fruits & Vegetables,3826.59,3414.23,167.08,1380.53,32.44,Keep
Turkey,2024,Fruits & Vegetables,32314.45,34638.56,25.06,1144.69,50.94,Keep
Saudi Arabia,2024,Grains & Cereals,14124.13,12918.47,198.89,800.59,37.68,Keep
UK,2024,Beverages,42759.18,42036.89,117.14,483.78,48.8,Keep
Brazil,2023,Frozen Food,30809.52,29577.54,165.09,1303.11,59.56,Keep
Indonesia,2024,Fruits & Vegetables,40420.06,41377.71,148.52,1078.09,66.05,Keep
China,2024,Meat & Seafood,21595.8,20770.57,187.58,363.04,38.62,Keep
South Korea,2023,Beverages,7828.63,6513.48,174.68,1393.99,33.43,Keep
Australia,2023,Prepared Food,13625.18,13845.11,128.26,12.22,69.8,Keep
Mexico,2024,Meat & Seafood,816.85,717.12,108.96,916.84,32.48,Keep
South Korea,2023,Prepared Food,14451.64,12964.99,197.13,1209.09,32.37,Keep
India,2024,Beverages,9530.67,11364.44,155.78,61.85,32.93,Keep
Argentina,2024,Meat & Seafood,1831.93,1767.05,77.49,549.05,59.9,Keep
Mexico,2023,Bakery Items,45674.14,49013,39.91,403.69,34.85,Keep
Australia,2024,Bakery Items,10846.97,10032.31,45.76,1099.76,53.1,Keep
Mexico,2023,Prepared Food,14473.2,12874.04,112.53,113.44,48.44,Keep
France,2023,Frozen Food,20381.9,20085.37,51.3,654.89,46.68,Keep
China,2024,Meat & Seafood,23632.77,22368.76,83.34,39.28,62.62,Keep
South Africa,2023,Beverages,17647.73,18779.23,121.14,958.1,60.62,Keep
Germany,2024,Frozen Food,26229.04,24689.61,152.53,361.3,50.82,Keep
France,2023,Frozen Food,692.3,823.34,177.65,175.57,36.82,Keep
Canada,2024,Meat & Seafood,31935.65,27163.23,121.64,776.33,43.24,Keep
Saudi Arabia,2024,Bakery Items,47562.85,55737.39,165.18,85.26,43.58,Keep
Germany,2023,Frozen Food,20660.74,19312.94,111.07,765.49,64.81,Keep
Argentina,2024,Dairy Products,29583.53,33481.65,45.69,1063.91,61.92,Keep
Russia,2023,Grains & Cereals,36095.48,43115.74,37.43,899.35,34.95,Keep
South Africa,2023,Meat & Seafood,19445.22,19020.37,73.58,1319.94,31.32,Keep
Germany,2024,Dairy Products,14674.52,14947.46,133.02,744.1,52.74,Keep
Mexico,2024,Dairy Products,23080.87,20864.58,81.56,581.19,59.94,Keep
Brazil,2023,Grains & Cereals,13744.82,14829.62,184.28,877.75,62.38,Keep
Argentina,2024,Fruits & Vegetables,48462.45,49443.65,71.76,1061.38,39.67,Keep
Turkey,2023,Frozen Food,43576.62,43775.85,131.91,583.8,45.93,Keep
Indonesia,2024,Meat & Seafood,8838.53,8867.16,107.69,1064.13,49.5,Keep
Turkey,2023,Prepared Food,9879.96,10722.25,95.61,452.07,44.95,Keep
Canada,2024,Prepared Food,37542.25,32066.37,156.09,135.95,45.03,Keep
France,2024,Fruits & Vegetables,31099.34,29441.29,79.2,984.27,44.93,Keep
USA,2023,Fruits & Vegetables,2475.43,2330.35,49.42,911.06,34.29,Keep
Brazil,2023,Prepared Food,48522.23,44276.44,171.9,1123.89,46.34,Keep
China,2023,Prepared Food,10738.97,8613.14,162.96,987.99,68.57,Keep
Italy,2024,Prepared Food,49164.98,56638.77,185.73,662.41,38.8,Keep
Mexico,2024,Fruits & Vegetables,46577.19,54740.16,138.28,1022.88,41.48,Keep
Mexico,2023,Fruits & Vegetables,41515.29,42488.1,185.66,62.21,47.39,Keep
Russia,2024,Frozen Food,8352.67,9536.98,27.32,1063.02,31.35,Keep
Mexico,2024,Bakery Items,5740.16,6006.83,105.41,1257.32,69.8,Keep
Italy,2023,Bakery Items,15102.01,16515.17,182.79,547.22,64.59,Keep
Russia,2023,Meat & Seafood,9594.9,8635.68,89.41,1318.44,60.51,Keep
Turkey,2024,Meat & Seafood,44122.03,37487.87,81.04,552.7,31.65,Keep
Brazil,2024,Bakery Items,49284.51,52917.99,116.39,83.06,40.09,Keep
Indonesia,2023,Fruits & Vegetables,20585.97,21867.46,197.18,1151.35,64.32,Keep
Spain,2024,Beverages,38566.47,31631.59,172.43,858.26,37.56,Keep
USA,2024,Grains & Cereals,26806.05,24067.04,92.95,776.13,65.27,Keep
Indonesia,2024,Beverages,16338.96,13830.73,167.76,1250.52,38.71,Keep
USA,2024,Frozen Food,9827.45,9747.39,53.24,574.88,36.69,Keep
Germany,2024,Prepared Food,11296.78,11830.97,21.64,645.44,48.2,Keep
South Africa,2024,Fruits & Vegetables,45682.04,39117.34,42.62,404.16,32.21,Keep
Germany,2024,Meat & Seafood,38470.33,43779.81,119.22,337.73,31.69,Keep
Turkey,2024,Beverages,28825.21,30502.34,107.12,537.79,54.1,Keep
Saudi Arabia,2023,Meat & Seafood,47231.97,53421.64,109.68,1275.11,64.23,Keep
Turkey,2023,Dairy Products,22963.66,24723.96,105.7,1265.02,30.8,Keep
South Korea,2023,Beverages,27610.31,27250.78,141.58,444.92,48.76,Keep
Italy,2024,Fruits & Vegetables,25148.53,26580.93,96.84,1373.75,61.78,Keep
UK,2024,Meat & Seafood,4897.73,3924.03,164.04,1066.56,38.14,Keep
France,2023,Fruits & Vegetables,42584.45,34687.74,190.89,671.16,66.02,Keep
India,2023,Prepared Food,12889.02,12044.44,25.54,920.02,34.98,Keep
Argentina,2023,Meat & Seafood,12996.1,10791.47,176.69,1219.29,32,Keep
Germany,2023,Dairy Products,39640.67,45257.9,172.04,884.85,44.74,Keep
Spain,2024,Bakery Items,40774.51,40166.64,170.8,418.7,31.65,Keep
Italy,2024,Prepared Food,17805.95,14344.08,98.43,737.86,59.02,Keep
UK,2024,Fruits & Vegetables,1770.01,1586.6,124.12,465.5,36.5,Keep
China,2024,Frozen Food,44571.72,38799.41,64.52,265.2,36.46,Keep
Germany,2023,Dairy Products,34265.32,31824.29,36.36,85.99,57.52,Keep
South Africa,2024,Dairy Products,37272.33,36169.5,164.31,221.67,64.28,Keep
India,2023,Prepared Food,22824.99,21668.59,69.44,965.14,62.27,Keep
Germany,2023,Fruits & Vegetables,11793.7,14057.41,186.27,1086.43,60.27,Keep
South Korea,2024,Frozen Food,44274.37,48037.82,93.24,635.66,43.19,Keep
UK,2024,Beverages,28410.76,27734.23,139.37,581.96,59.77,Keep
Indonesia,2023,Bakery Items,46548.17,38763.17,78.95,21.75,65.04,Keep
Germany,2023,Prepared Food,15781.53,15316.49,87.81,1354.7,41.74,Keep
South Korea,2024,Grains & Cereals,45096.37,36342.17,142.82,663.2,42.1,Keep
India,2023,Beverages,36185.23,35302.89,54.87,1187.7,69.36,Keep
Turkey,2023,Dairy Products,49901.29,58558.02,140.66,772.79,37.36,Keep
Saudi Arabia,2023,Frozen Food,24337.9,28971.13,180.03,1116.72,55.66,Keep
South Africa,2023,Frozen Food,43003.8,37348.25,116.74,711.68,54.9,Keep
China,2024,Dairy Products,41378.19,49135.69,129.79,304.39,34.31,Keep
Mexico,2023,Dairy Products,3279.54,2827.11,136.78,1203.45,51.79,Keep
South Africa,2024,Meat & Seafood,27306.53,29348.47,170.03,1050.27,69.87,Keep
China,2023,Bakery Items,38641.38,34253.48,174.9,305.32,67.81,Keep
Mexico,2023,Dairy Products,6420.44,6483.5,58.89,806.78,49.29,Keep
Mexico,2023,Prepared Food,1194.85,1136.47,177.31,530.85,38.71,Keep
Saudi Arabia,2024,Dairy Products,20831.11,23262.24,24.05,736.89,46.48,Keep
India,2024,Prepared Food,19680.23,23231.43,48.72,1379.67,50.77,Keep
Brazil,2024,Bakery Items,3712.67,3865.38,29.77,1288.16,61.34,Keep
South Africa,2024,Dairy Products,15408.5,13885.66,170.36,650.01,40.99,Keep
Japan,2023,Grains & Cereals,6480.74,5694.1,25.66,479.48,42.73,Keep
Germany,2024,Fruits & Vegetables,6620.95,7772.36,71.95,707.73,45.88,Keep
Brazil,2024,Frozen Food,29138.47,29241.06,119.04,562.3,45.59,Keep
Italy,2023,Prepared Food,10434.59,10683.6,47.91,77.19,61.28,Keep
Italy,2024,Prepared Food,19679.93,17477.72,194.07,318.35,48.81,Keep
Spain,2024,Meat & Seafood,24233.58,23642.65,152.56,439.75,32.11,Keep
Saudi Arabia,2024,Meat & Seafood,1431.67,1583.08,164.46,715.16,46.57,Keep
Germany,2024,Grains & Cereals,31978.88,28163.85,40.76,958.48,59.34,Keep
Brazil,2024,Grains & Cereals,46528.85,37983.77,95.75,1113.76,44.13,Keep
Russia,2024,Meat & Seafood,14892.13,13964.05,60.85,835.15,63.38,Keep
Japan,2024,Prepared Food,42632.27,34780.26,34.82,88.86,58.32,Keep
Brazil,2024,Grains & Cereals,4554.03,4992.48,27.3,1104.7,45.99,Keep
Italy,2023,Bakery Items,35870.23,36198.08,165.96,538.36,37.73,Keep
Brazil,2023,Meat & Seafood,42648.4,45802.88,113.25,913.45,32.22,Keep
South Africa,2023,Beverages,20008.2,18401.35,169.33,84.58,51.57,Keep
Argentina,2023,Bakery Items,40238.94,44387.84,119.8,289.05,57.56,Keep
Spain,2024,Prepared Food,17664.69,17838.92,93.64,1029.06,58.23,Keep
Spain,2024,Beverages,41075.85,43800,104.1,1221.33,44.81,Keep
Italy,2024,Dairy Products,1115.3,1284.47,90.67,912.65,61.24,Keep
USA,2024,Beverages,28584.45,28500.76,171.68,1002.04,43.86,Keep
Germany,2023,Prepared Food,18111.13,20384.84,153.77,244.66,49.65,Keep
South Africa,2024,Bakery Items,31998.09,25693.59,196.25,309.62,30.87,Keep
Argentina,2024,Prepared Food,13074.51,14667.3,110.13,549.63,63.09,Keep
UK,2023,Prepared Food,21672.82,24875.84,98.25,192.75,35.49,Keep
Brazil,2023,Meat & Seafood,41472.17,35977.69,151.85,615,42.41,Keep
UK,2024,Meat & Seafood,17844.4,14300.73,77.12,1234.5,42.94,Keep
Argentina,2024,Fruits & Vegetables,37037.13,37620.57,26.79,101.88,41.65,Keep
Indonesia,2023,Fruits & Vegetables,21279.19,22604.89,160.58,362.46,34.14,Keep
Japan,2024,Beverages,35367.51,35898.89,47.67,686.95,35.4,Keep
UK,2023,Dairy Products,20877.01,22489.55,83.03,786.66,30.15,Keep
Japan,2023,Prepared Food,44053.48,44075.72,33.34,1388.68,61.32,Keep
Spain,2024,Meat & Seafood,18123.51,20935.21,44.6,556.72,30.86,Keep
France,2024,Frozen Food,33109.85,39031.62,164.41,1151.56,64.99,Keep
Indonesia,2024,Fruits & Vegetables,38628.78,39024.03,79.19,1067.24,62.7,Keep
USA,2023,Bakery Items,39056.25,37705.58,156.16,338.01,32.47,Keep
Brazil,2024,Grains & Cereals,27207.95,27249.53,151.93,153.87,43.24,Keep
Spain,2023,Dairy Products,45066.36,43571.49,198.87,376.17,64.61,Keep
Argentina,2024,Beverages,23393.96,24355.11,109.23,108.6,69.81,Keep
Indonesia,2024,Frozen Food,15863.75,14755.62,94.25,898.18,55.75,Keep
South Africa,2024,Grains & Cereals,44128.03,42983.4,50.66,992.53,61.83,Keep
Brazil,2023,Grains & Cereals,47791.81,47489.1,62.64,721.89,34.17,Keep
South Africa,2024,Bakery Items,15262.77,14992.95,190.44,1284.1,47.19,Keep
Russia,2024,Meat & Seafood,45746.48,52728.75,75.63,311.69,50.13,Keep
South Africa,2023,Bakery Items,24515.74,28891.78,150.78,514.75,56.84,Keep
Turkey,2023,Dairy Products,9784.34,10088.25,43.8,201.24,42.26,Keep
Australia,2024,Prepared Food,43312.69,36537.57,125,275.28,44.99,Keep
Indonesia,2024,Grains & Cereals,20707.63,22686.73,165.69,1269.47,39.46,Keep
Saudi Arabia,2023,Prepared Food,3605.46,4044.41,45.06,485.01,45.71,Keep
Brazil,2024,Prepared Food,29820.2,30839.88,93.78,76.33,59.04,Keep
Spain,2023,Beverages,12867.49,11675.71,143.76,1362.94,30.38,Keep
India,2024,Prepared Food,35856.35,42291.85,177.24,989.02,45.6,Keep
Indonesia,2023,Beverages,37381.05,43622.57,28.71,607,51.34,Keep
Italy,2023,Dairy Products,28851.4,25076.78,73.23,689.37,41.97,Keep
India,2024,Prepared Food,11614.12,9959.1,75.21,1290.53,55.98,Keep
China,2024,Prepared Food,12738.75,11551.29,132.52,807.33,61.92,Keep
South Korea,2024,Bakery Items,24536.44,24892.3,147.49,305.21,54.25,Keep
Mexico,2023,Grains & Cereals,47074.42,50848.46,128.51,124.8,64.75,Keep
Spain,2023,Prepared Food,47691.12,42560.6,97.16,476.43,39.74,Keep
Spain,2024,Beverages,11463.72,10968.53,40.79,727.11,50.16,Keep
Japan,2023,Dairy Products,47354.14,37996.01,103.25,350.58,50,Keep
Brazil,2023,Prepared Food,49231.61,45743.9,43.04,971.47,39.59,Keep
USA,2024,Prepared Food,28293.2,27917.29,136.94,1276.82,57.11,Keep
Germany,2023,Beverages,29574.47,34769.68,136.65,495.08,51.01,Keep
Germany,2023,Beverages,6355.69,6599.21,37.45,821.11,30.92,Keep
Germany,2024,Fruits & Vegetables,38728.72,35494.63,160.46,160.58,62.81,Keep
